         t             x1             x2             v1             v2             p1             p2
  0.000000       1.000000      -0.800000       0.000000       0.000000       0.000000       0.000000
  0.005000       0.999975      -0.799990      -0.009997       0.003999      -0.009997       0.007999
  0.010000       0.999900      -0.799960      -0.019989       0.007998      -0.019989       0.015996
  0.015000       0.999775      -0.799910      -0.029974       0.011995      -0.029974       0.023990
  0.020000       0.999600      -0.799840      -0.039952       0.015991      -0.039952       0.031981
  0.025000       0.999376      -0.799750      -0.049921       0.019985      -0.049921       0.039970
  0.030000       0.999101      -0.799640      -0.059881       0.023978      -0.059881       0.047955
  0.035000       0.998777      -0.799510      -0.069832       0.027968      -0.069832       0.055937
  0.040000       0.998403      -0.799361      -0.079772       0.031957      -0.079772       0.063915
  0.045000       0.997979      -0.799191      -0.089701       0.035944      -0.089701       0.071889
  0.050000       0.997506      -0.799001      -0.099618       0.039929      -0.099618       0.079859
  0.055000       0.996983      -0.798791      -0.109521       0.043912      -0.109521       0.087824
  0.060000       0.996411      -0.798562      -0.119412       0.047892      -0.119412       0.095785
  0.065000       0.995789      -0.798313      -0.129287       0.051870      -0.129287       0.103741
  0.070000       0.995118      -0.798043      -0.139148       0.055846      -0.139148       0.111691
  0.075000       0.994397      -0.797754      -0.148992       0.059818      -0.148992       0.119636
  0.080000       0.993628      -0.797445      -0.158820       0.063788      -0.158820       0.127576
  0.085000       0.992809      -0.797116      -0.168630       0.067754      -0.168630       0.135509
  0.090000       0.991942      -0.796768      -0.178422       0.071718      -0.178422       0.143436
  0.095000       0.991025      -0.796399      -0.188195       0.075679      -0.188195       0.151357
  0.100000       0.990060      -0.796011      -0.197948       0.079636      -0.197948       0.159271
  0.105000       0.989046      -0.795603      -0.207680       0.083589      -0.207680       0.167179
  0.110000       0.987983      -0.795175      -0.217391       0.087539      -0.217391       0.175079
  0.115000       0.986872      -0.794727      -0.227080       0.091486      -0.227080       0.182971
  0.120000       0.985712      -0.794260      -0.236747       0.095428      -0.236747       0.190857
  0.125000       0.984504      -0.793773      -0.246389       0.099367      -0.246389       0.198734
  0.130000       0.983248      -0.793266      -0.256008       0.103301      -0.256008       0.206603
  0.135000       0.981944      -0.792740      -0.265601       0.107232      -0.265601       0.214464
  0.140000       0.980592      -0.792194      -0.275169       0.111158      -0.275169       0.222316
  0.145000       0.979193      -0.791628      -0.284711       0.115080      -0.284711       0.230159
  0.150000       0.977745      -0.791043      -0.294225       0.118997      -0.294225       0.237994
  0.155000       0.976250      -0.790439      -0.303711       0.122909      -0.303711       0.245819
  0.160000       0.974708      -0.789814      -0.313169       0.126817      -0.313169       0.253634
  0.165000       0.973119      -0.789170      -0.322598       0.130720      -0.322598       0.261440
  0.170000       0.971482      -0.788507      -0.331997       0.134618      -0.331997       0.269235
  0.175000       0.969799      -0.787824      -0.341365       0.138510      -0.341365       0.277021
  0.180000       0.968069      -0.787122      -0.350701       0.142398      -0.350701       0.284796
  0.185000       0.966292      -0.786400      -0.360006       0.146280      -0.360006       0.292560
  0.190000       0.964469      -0.785659      -0.369278       0.150157      -0.369278       0.300313
  0.195000       0.962599      -0.784899      -0.378517       0.154028      -0.378517       0.308055
  0.200000       0.960684      -0.784119      -0.387722       0.157893      -0.387722       0.315786
  0.205000       0.958722      -0.783320      -0.396892       0.161752      -0.396892       0.323505
  0.210000       0.956715      -0.782501      -0.406026       0.165606      -0.406026       0.331212
  0.215000       0.954662      -0.781664      -0.415125       0.169454      -0.415125       0.338907
